KATEGORI,JENIS,NOMOR PART,NAMA PART,SUPPLIER,STATUS,KETERANGAN,STD PACKING,UOM,JENIS PACKING
POLYBAG,LDPE,PSG-SUBPART-0097,"POLYBAG LDPE 40 X 60 X 0,03 CM","Primatama Bintang Indoensia Plastic Industry, PT",AKTIF,L2,25,BAG,KG
POLYBAG,LDPE,PSG-SUBPART-0099,"POLYBAG LDPE 65 X 100 X 0,03 CM","Primatama Bintang Indoensia Plastic Industry, PT",AKTIF,L2,25,BAG,KG
POLYBAG,LDPE,PSG-SUBPART-0105,"POLYBAG LDPE 35X75X0,03","Primatama Bintang Indoensia Plastic Industry, PT",AKTIF,L2,25,BAG,KG
LAYER,KARTON,PSG-SUBPART-0014,LAYER KARTON 56 X 37 X 0.02,"Propack Kreasi Mandiri, PT",AKTIF,L1,100,IKAT,PCS
BOX,KARTON,PSG-SUBPART-0025,KARTON BOX 66 X 45 X 57,"Propack Kreasi Mandiri, PT",DISCONTINUE,L1,100,IKAT,PCS
BOX,KARTON,PSG-SUBPART-0027,KARTON BOX 52 X 32 X 48,"Propack Kreasi Mandiri, PT",DISCONTINUE,L1,100,IKAT,PCS
BOX,KARTON,PSG-SUBPART-0029,KARTON BOX 620 X 420 X 300,"Propack Kreasi Mandiri, PT",DISCONTINUE,L1,100,IKAT,PCS
LAYER,FOAM BAG,PSG-SUBPART-0044,"PE FOAM BAG 15X64X0,05","Propack Kreasi Mandiri, PT",DISCONTINUE,L1,100,PLASTIK,PCS
LAYER,KARTON,PSG-SUBPART-0090,LAYER KARTON 57 X 32 X 0.2,"Propack Kreasi Mandiri, PT",AKTIF,L1,100,IKAT,PCS
LAYER,FOAM SHEET,PSG-SUBPART-0016,"FOAM SHEET 40 X 40 X 0,2","Skypackhutama Industry, PT",DISCONTINUE,L1,100,PLASTIK,PCS
LAYER,FOAM BAG,PSG-SUBPART-0042,"PE FOAM BAG 23X72X0,05","Skypackhutama Industry, PT",AKTIF,L1,100,PLASTIK,PCS
LAYER,FOAM BAG,PSG-SUBPART-0070,FOAM BAG 40 X 40,"Skypackhutama Industry, PT",AKTIF,L1,100,PLASTIK,PCS
LAYER,POLYFOAM BAG,PSG-SUBPART-0074,POLYFOAM BAG PE 30 X 45 X 0.003,"Skypackhutama Industry, PT",AKTIF,L1,100,PLASTIK,PCS
LAYER,FOAM BAG,PSG-SUBPART-0076,Foambag 22 x 40 x 0.5,"Skypackhutama Industry, PT",AKTIF,L1,100,PLASTIK,PCS
LAYER,FOAM BAG,PSG-SUBPART-0077,Foambag 18 x 30 x 0.5,"Skypackhutama Industry, PT",AKTIF,L1,100,PLASTIK,PCS
LAYER,FOAM,PSG-SUBPART-0089,"Layer Foam 70 X 50 X 0,05","Skypackhutama Industry, PT",AKTIF,L1,100,PLASTIK,PCS
